"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2022 YG)","2024-Dec-22 10:28 ± < 00:01","0.05725","0.05725","4.31","4.30","26.8","12 m -   27 m","0"
"(2024 YT4)","2024-Dec-22 14:15 ±    00:03","0.02735","0.02725","20.87","20.86","25.7","19 m -   43 m","0"
"(2024 WX15)","2024-Dec-22 19:58 ± < 00:01","0.06229","0.06224","5.81","5.81","24.3","37 m -   83 m","0"
"(2024 YC)","2024-Dec-22 23:59 ± < 00:01","0.00412","0.00411","6.39","6.29","27.3","9.4 m -   21 m","0"
"(2025 AB1)","2024-Dec-23 07:00 ±    00:26","0.05131","0.05084","6.65","6.64","26.2","16 m -   35 m","0"
"(2024 YB1)","2024-Dec-23 12:28 ± < 00:01","0.00817","0.00812","20.99","20.97","27.5","8.5 m -   19 m","0"
"(2024 YO9)","2024-Dec-23 13:52 ±    00:02","0.02104","0.02096","10.14","10.13","26.4","14 m -   31 m","0"
"(2024 YK7)","2024-Dec-23 18:18 ± < 00:01","0.05416","0.05336","12.38","12.37","24.8","29 m -   65 m","0"
"(2024 YN9)","2024-Dec-23 23:39 ± < 00:01","0.04603","0.04567","12.15","12.15","25.7","20 m -   44 m","0"
"(2024 WU13)","2024-Dec-24 01:44 ±    00:24","0.05370","0.05342","2.78","2.76","26.4","14 m -   31 m","0"
"(2024 XN1)","2024-Dec-24 02:57 ± < 00:01","0.04822","0.04815","6.59","6.58","24.7","30 m -   68 m","0"
"(2024 YU6)","2024-Dec-24 14:38 ±    00:03","0.04845","0.04808","10.06","10.05","26.4","14 m -   31 m","0"
"(2024 YP4)","2024-Dec-25 02:57 ± < 00:01","0.05019","0.05004","6.31","6.30","26.2","16 m -   35 m","0"
"(2024 YR11)","2024-Dec-25 03:11 ± < 00:01","0.03440","0.03437","3.58","3.56","25.4","22 m -   48 m","0"
"(2024 YR4)","2024-Dec-25 04:46 ± < 00:01","0.00554","0.00554","13.75","13.72","23.9","44 m -   98 m","2"
"(2024 YD3)","2024-Dec-25 12:04 ± < 00:01","0.02794","0.02759","20.66","20.65","25.4","22 m -   50 m","0"
"(2024 YP)","2024-Dec-25 12:57 ± < 00:01","0.00665","0.00663","6.63","6.57","27.1","10 m -   22 m","0"
"(2024 YQ3)","2024-Dec-25 14:37 ±    00:04","0.00078","0.00077","10.59","10.26","30.6","2.1 m -  4.6 m","0"
"(2024 XY8)","2024-Dec-25 20:10 ± < 00:01","0.09398","0.09396","6.85","6.84","24.1","40 m -   90 m","0"
"(2021 AP1)","2024-Dec-25 22:53 ± < 00:01","0.08571","0.08571","8.17","8.17","23.7","48 m -  110 m","0"
"(2024 YM7)","2024-Dec-26 03:01 ± < 00:01","0.00713","0.00712","8.21","8.16","27.1","10 m -   23 m","0"
"(2024 YS6)","2024-Dec-26 03:06 ± < 00:01","0.01353","0.01351","9.06","9.04","25.9","17 m -   39 m","0"
"(2024 YU17)","2024-Dec-26 04:24 ±    00:01","0.08558","0.08375","13.31","13.31","23.5","52 m -  120 m","0"
"(2024 YF4)","2024-Dec-26 05:45 ± < 00:01","0.00813","0.00812","9.41","9.38","26.1","16 m -   36 m","0"
"(2017 YY4)","2024-Dec-26 06:12 ± 4_23:36","0.08002","0.06455","13.00","13.00","24.9","28 m -   62 m","0"
"(2024 YZ3)","2024-Dec-26 10:57 ± < 00:01","0.02160","0.02158","10.07","10.06","24.9","28 m -   63 m","0"
"(2024 YY12)","2024-Dec-26 13:17 ± < 00:01","0.00658","0.00654","7.84","7.79","27.3","9.1 m -   20 m","0"
"(2024 YH)","2024-Dec-26 13:34 ± < 00:01","0.02445","0.02440","10.41","10.40","25.2","24 m -   53 m","0"
"(2025 AD1)","2024-Dec-26 15:44 ±    00:02","0.05389","0.05327","15.00","15.00","23.6","50 m -  110 m","0"
"(2024 YG1)","2024-Dec-26 18:38 ±    00:02","0.05700","0.05642","11.07","11.07","25.4","22 m -   50 m","0"
"377097 (2002 WQ4)","2024-Dec-26 20:27 ± < 00:01","0.08095","0.08095","14.28","14.28","19.7","300 m -  680 m","1"
"(2024 XQ7)","2024-Dec-26 20:43 ± < 00:01","0.06183","0.06176","5.50","5.49","24.6","32 m -   72 m","0"
"(2024 YV4)","2024-Dec-26 22:15 ± < 00:01","0.01734","0.01730","8.34","8.32","27.0","11 m -   24 m","0"
"(2024 YV)","2024-Dec-27 00:10 ± < 00:01","0.08223","0.08133","15.58","15.58","24.5","33 m -   73 m","0"
"(2023 HS)","2024-Dec-27 00:26 ± 1_02:44","0.06975","0.05690","11.50","11.50","27.6","7.9 m -   18 m","0"
"(2024 YU9)","2024-Dec-27 04:09 ± < 00:01","0.01254","0.01247","12.59","12.58","27.3","9.3 m -   21 m","0"
"(2024 YH9)","2024-Dec-27 05:18 ± < 00:01","0.01559","0.01553","4.36","4.32","27.8","7.2 m -   16 m","0"
"(2024 WM15)","2024-Dec-27 07:10 ± < 00:01","0.05473","0.05460","6.83","6.83","24.9","28 m -   64 m","0"
"(2019 UH3)","2024-Dec-27 13:06 ± 7_12:58","0.05247","0.04587","7.97","7.96","25.8","18 m -   41 m","0"
"(2017 YD2)","2024-Dec-27 22:01 ±    00:16","0.04611","0.02832","9.91","9.90","28.7","4.8 m -   11 m","0"
"(2024 YM9)","2024-Dec-27 23:20 ± < 00:01","0.07094","0.07041","29.22","29.21","22.4","90 m -  200 m","0"
"(2024 YC1)","2024-Dec-28 02:29 ± < 00:01","0.03986","0.03981","9.24","9.23","24.4","35 m -   79 m","0"
"(2024 YQ2)","2024-Dec-28 07:25 ± < 00:01","0.00686","0.00686","16.18","16.16","25.8","19 m -   42 m","0"
"(2024 YG9)","2024-Dec-28 08:51 ±    00:08","0.00244","0.00242","14.62","14.55","28.8","4.7 m -   10 m","0"
"(2024 YA4)","2024-Dec-28 12:36 ± < 00:01","0.01691","0.01686","9.12","9.10","26.9","11 m -   24 m","0"
"(2024 YX8)","2024-Dec-28 13:20 ± < 00:01","0.01161","0.01157","19.47","19.46","26.1","16 m -   35 m","0"
"(2024 XW16)","2024-Dec-28 15:49 ± < 00:01","0.05716","0.05712","9.47","9.46","23.9","44 m -   99 m","0"
"(2024 YA5)","2024-Dec-29 01:50 ± < 00:01","0.00235","0.00234","16.38","16.31","28.0","6.7 m -   15 m","0"
"(2025 AM2)","2024-Dec-29 02:10 ±    00:06","0.06809","0.06734","11.11","11.11","26.2","16 m -   35 m","0"
"(2024 YM12)","2024-Dec-29 03:28 ± < 00:01","0.00615","0.00614","16.15","16.13","25.8","18 m -   41 m","1"
"(2019 XB)","2024-Dec-29 05:43 ± < 00:01","0.05774","0.05774","10.51","10.51","23.5","52 m -  120 m","0"
"(2024 YB5)","2024-Dec-29 09:51 ± < 00:01","0.00741","0.00738","11.26","11.23","27.1","9.9 m -   22 m","0"
"(2024 WL1)","2024-Dec-29 13:01 ± < 00:01","0.07297","0.07296","6.84","6.84","24.3","37 m -   83 m","0"
"(2024 YH7)","2024-Dec-29 13:43 ± < 00:01","0.01564","0.01556","26.41","26.40","24.9","27 m -   61 m","0"
"(2024 YR6)","2024-Dec-29 15:14 ± < 00:01","0.00173","0.00173","6.68","6.45","29.8","3.0 m -  6.7 m","0"
"(2025 AG)","2024-Dec-29 15:37 ± < 00:01","0.03797","0.03774","17.28","17.27","25.2","24 m -   53 m","0"
"(2024 YJ11)","2024-Dec-29 16:37 ± < 00:01","0.05818","0.05806","10.04","10.04","23.9","44 m -   98 m","0"
"(2024 YN7)","2024-Dec-30 01:53 ± < 00:01","0.00105","0.00105","13.39","13.20","28.2","6.1 m -   14 m","0"
"(2024 YB2)","2024-Dec-30 04:00 ± < 00:01","0.02928","0.02912","12.02","12.02","26.3","15 m -   33 m","0"
"(2025 BD3)","2024-Dec-30 06:40 ±    01:03","0.09444","0.09258","6.41","6.41","25.5","21 m -   47 m","0"
"(2025 AK2)","2024-Dec-30 13:57 ± < 00:01","0.02911","0.02910","13.72","13.72","21.7","120 m -  270 m","1"
"(2025 AA1)","2024-Dec-30 14:03 ±    00:02","0.04126","0.04058","12.41","12.40","25.1","26 m -   57 m","0"
"(2025 AD2)","2024-Dec-30 20:17 ±    00:05","0.03359","0.03344","5.35","5.34","26.8","12 m -   26 m","0"
"(2024 YW8)","2024-Dec-30 21:26 ± < 00:01","0.00019","0.00019","8.83","7.06","32.1","0.99 m -  2.2 m","0"
"(2024 YE4)","2024-Dec-30 22:49 ± < 00:01","0.01104","0.01100","13.11","13.09","27.6","8.0 m -   18 m","0"
"(2024 YJ7)","2024-Dec-30 23:39 ± < 00:01","0.00215","0.00214","8.45","8.30","29.4","3.5 m -  7.8 m","0"
"(2025 AH1)","2024-Dec-31 03:34 ±    00:04","0.00842","0.00839","7.87","7.83","28.3","5.9 m -   13 m","0"
"(2024 AV2)","2024-Dec-31 03:47 ± < 00:01","0.01727","0.01727","7.84","7.82","26.6","12 m -   28 m","0"
"(2025 AC1)","2024-Dec-31 04:55 ± < 00:01","0.01909","0.01905","5.90","5.88","26.9","11 m -   25 m","0"
"(2025 AJ)","2024-Dec-31 08:39 ± < 00:01","0.01916","0.01908","7.60","7.58","25.4","23 m -   50 m","0"
"(2025 AN)","2024-Dec-31 12:37 ± < 00:01","0.01225","0.01222","14.37","14.36","24.9","28 m -   62 m","0"
"(2025 AZ)","2024-Dec-31 12:54 ±    00:01","0.03867","0.03830","14.91","14.91","25.9","18 m -   40 m","0"
"(2024 YB3)","2024-Dec-31 13:41 ± < 00:01","0.02350","0.02343","18.08","18.07","25.1","26 m -   58 m","0"
"(2025 AA4)","2024-Dec-31 15:44 ±    00:06","0.00461","0.00459","12.36","12.31","29.2","3.8 m -  8.4 m","0"
"(2025 AH4)","2024-Dec-31 15:53 ±    00:02","0.00041","0.00041","15.14","14.71","29.8","3.0 m -  6.7 m","0"
"(2024 YS2)","2024-Dec-31 18:00 ±    00:03","0.00343","0.00343","4.45","4.28","28.1","6.4 m -   14 m","0"
"(2024 YA9)","2024-Dec-31 19:13 ± < 00:01","0.00325","0.00324","15.74","15.69","28.5","5.2 m -   12 m","0"
"(2024 YU7)","2024-Dec-31 19:35 ± < 00:01","0.02285","0.02282","9.17","9.16","24.7","31 m -   69 m","0"
"(2024 YV3)","2024-Dec-31 20:38 ±    00:02","0.03371","0.03314","12.91","12.90","26.3","15 m -   33 m","0"
"(2025 AN1)","2024-Dec-31 21:06 ± < 00:01","0.02805","0.02797","11.66","11.65","25.8","19 m -   42 m","0"
"(2024 YE9)","2024-Dec-31 22:52 ± < 00:01","0.00604","0.00602","14.55","14.52","27.8","7.3 m -   16 m","0"
"(2024 YZ8)","2025-Jan-01 02:32 ± < 00:01","0.07253","0.07227","21.48","21.47","23.7","49 m -  110 m","0"
"(2025 AG1)","2025-Jan-01 05:24 ± < 00:01","0.00449","0.00448","2.65","2.41","29.5","3.4 m -  7.5 m","0"
"(2024 YY8)","2025-Jan-01 07:14 ± < 00:01","0.00863","0.00861","4.76","4.69","28.7","4.8 m -   11 m","0"
"(2024 YJ9)","2025-Jan-01 07:39 ± < 00:01","0.00846","0.00842","14.18","14.16","27.9","7.0 m -   16 m","0"
"(2024 YD2)","2025-Jan-01 09:49 ±    00:02","0.06115","0.06043","8.77","8.76","24.9","28 m -   63 m","0"
"(2025 AC4)","2025-Jan-01 10:18 ± < 00:01","0.04293","0.04259","15.97","15.97","24.6","32 m -   72 m","0"
"(2024 YV1)","2025-Jan-01 10:55 ±    00:31","0.09526","0.09379","5.80","5.79","26.2","15 m -   34 m","0"
"(2024 YV10)","2025-Jan-01 14:52 ±    00:47","0.05682","0.05635","5.85","5.84","26.2","15 m -   35 m","0"
"(2024 YY4)","2025-Jan-01 21:38 ± < 00:01","0.01120","0.01120","4.01","3.95","26.4","14 m -   31 m","0"
"(2024 YR9)","2025-Jan-02 01:32 ± < 00:01","0.02238","0.02231","20.74","20.74","25.7","19 m -   42 m","0"
"(2025 AO1)","2025-Jan-02 02:13 ± < 00:01","0.00353","0.00350","8.11","8.02","27.9","6.9 m -   15 m","0"
"(2024 YF7)","2025-Jan-02 02:53 ± < 00:01","0.01296","0.01292","13.57","13.55","25.8","19 m -   42 m","0"
"(2024 YS9)","2025-Jan-02 03:06 ± < 00:01","0.01058","0.01053","21.22","21.20","27.8","7.3 m -   16 m","0"
"(2025 AE2)","2025-Jan-02 05:22 ± < 00:01","0.04874","0.04865","9.86","9.86","24.7","31 m -   69 m","0"
"(2024 XP10)","2025-Jan-02 07:15 ± < 00:01","0.05059","0.05057","8.42","8.41","24.6","32 m -   72 m","0"
"(2025 AA2)","2025-Jan-02 08:41 ± < 00:01","0.00833","0.00830","13.52","13.50","26.1","16 m -   36 m","0"
"(2024 YR8)","2025-Jan-02 11:30 ± < 00:01","0.05408","0.05369","16.20","16.20","24.6","32 m -   71 m","0"
"(2024 YR3)","2025-Jan-02 17:36 ±    00:08","0.06319","0.06299","3.70","3.68","25.4","22 m -   48 m","0"
"(2024 XB20)","2025-Jan-02 18:08 ±    00:37","0.09130","0.09062","2.84","2.83","26.0","17 m -   38 m","0"
"(2025 AC)","2025-Jan-02 22:36 ± < 00:01","0.00094","0.00094","4.28","3.55","29.0","4.2 m -  9.3 m","0"
"(2025 BE1)","2025-Jan-03 00:19 ±    00:33","0.05313","0.05022","8.24","8.23","26.5","14 m -   30 m","0"
"(2025 AC3)","2025-Jan-03 01:03 ±    00:02","0.05234","0.05196","7.14","7.13","25.7","19 m -   43 m","0"
"(2024 YC9)","2025-Jan-03 04:47 ± < 00:01","0.00873","0.00873","8.69","8.66","27.0","11 m -   24 m","0"
"(2025 AB)","2025-Jan-03 06:22 ± < 00:01","0.00102","0.00102","11.56","11.33","27.1","10.0 m -   22 m","1"
"(2025 AE)","2025-Jan-03 13:09 ± < 00:01","0.04204","0.04168","16.75","16.74","25.7","19 m -   42 m","0"
"(2025 AO)","2025-Jan-03 17:22 ± < 00:01","0.00307","0.00306","9.82","9.73","28.8","4.7 m -   11 m","0"
"(2025 AX1)","2025-Jan-03 17:47 ± < 00:01","0.00730","0.00728","14.60","14.58","26.9","11 m -   25 m","0"
"(2024 YL1)","2025-Jan-03 18:03 ± < 00:01","0.01576","0.01570","4.78","4.75","27.3","9.1 m -   20 m","0"
"(2025 AN2)","2025-Jan-03 18:30 ± < 00:01","0.00472","0.00471","8.49","8.42","27.0","10 m -   23 m","0"
"(2025 BS)","2025-Jan-04 00:07 ±    00:06","0.07929","0.07823","14.84","14.83","23.6","50 m -  110 m","0"
"(2024 YL7)","2025-Jan-04 03:52 ± < 00:01","0.03258","0.03253","7.26","7.25","25.4","22 m -   50 m","0"
"(2021 AO4)","2025-Jan-04 11:53 ± 8_13:18","0.01765","0.01041","15.12","15.11","27.6","7.9 m -   18 m","0"
"(2024 YG13)","2025-Jan-04 14:39 ± < 00:01","0.00495","0.00494","11.80","11.75","27.0","10 m -   23 m","0"
"(2025 AL1)","2025-Jan-04 16:34 ± < 00:01","0.08676","0.08650","17.65","17.65","22.5","84 m -  190 m","0"
"(2024 YU1)","2025-Jan-04 17:20 ± < 00:01","0.01503","0.01502","7.31","7.29","25.2","24 m -   53 m","0"
"(2025 AC2)","2025-Jan-04 18:26 ± < 00:01","0.02407","0.02404","6.33","6.31","25.3","23 m -   51 m","0"
"(2025 AZ1)","2025-Jan-04 19:32 ± < 00:01","0.01744","0.01732","13.88","13.86","27.5","8.5 m -   19 m","0"
"(2024 YX9)","2025-Jan-04 21:12 ± < 00:01","0.01468","0.01463","11.21","11.19","26.9","11 m -   25 m","0"
"(2024 YT3)","2025-Jan-05 00:59 ± < 00:01","0.02773","0.02754","7.07","7.06","26.5","13 m -   30 m","0"
"(2025 BQ5)","2025-Jan-05 12:43 ±    00:14","0.04518","0.04488","9.13","9.12","24.7","31 m -   69 m","0"
"(2025 AG3)","2025-Jan-05 15:09 ± < 00:01","0.01402","0.01398","7.46","7.43","28.3","5.8 m -   13 m","0"
"(2025 AY1)","2025-Jan-05 18:03 ± < 00:01","0.09216","0.09153","16.72","16.72","23.2","61 m -  140 m","0"
"(2020 BC6)","2025-Jan-05 21:44 ± < 00:01","0.02462","0.02462","22.18","22.18","20.9","180 m -  400 m","1"
"(2024 YY21)","2025-Jan-06 04:45 ±    00:01","0.03717","0.03684","5.23","5.21","26.9","11 m -   25 m","0"
"(2025 BC2)","2025-Jan-06 11:01 ±    00:35","0.03310","0.03219","17.10","17.10","24.5","33 m -   74 m","0"
"(2024 YW3)","2025-Jan-06 16:01 ± < 00:01","0.01442","0.01439","12.26","12.24","25.1","26 m -   57 m","0"
"(2010 AL60)","2025-Jan-07 07:48 ± < 00:01","0.06293","0.06293","8.99","8.98","22.3","93 m -  210 m","0"
"438017 (2003 YO3)","2025-Jan-07 08:24 ± < 00:01","0.08113","0.08113","15.28","15.27","18.5","520 m -  1.2 km","1"
"(2024 YZ9)","2025-Jan-07 10:58 ± < 00:01","0.02422","0.02412","8.54","8.53","25.2","25 m -   55 m","0"
"(2017 YD)","2025-Jan-07 14:03 ± 3_20:04","0.07043","0.05391","4.91","4.91","25.5","21 m -   47 m","0"
"(2024 YH4)","2025-Jan-07 14:07 ± < 00:01","0.08734","0.08707","22.52","22.52","22.5","83 m -  180 m","0"
"(2025 BM)","2025-Jan-07 16:31 ± < 00:01","0.09402","0.09391","10.56","10.56","23.3","59 m -  130 m","0"
"(2024 YW12)","2025-Jan-07 18:55 ± < 00:01","0.09947","0.09933","13.63","13.63","23.6","51 m -  110 m","0"
"(2024 YA10)","2025-Jan-08 07:52 ± < 00:01","0.02267","0.02260","11.95","11.94","26.1","16 m -   36 m","0"
"887 Alinda (A918 AA)","2025-Jan-08 13:40 ± < 00:01","0.08220","0.08220","8.25","8.24","13.8","4.2 km","3"
"(2025 AT)","2025-Jan-08 19:25 ±    00:54","0.07926","0.07868","8.41","8.41","25.7","19 m -   43 m","0"
"(2024 BM1)","2025-Jan-08 23:07 ± < 00:01","0.03028","0.03028","9.11","9.10","26.0","17 m -   37 m","0"
"(2024 PT5)","2025-Jan-09 02:11 ± < 00:01","0.01204","0.01204","1.03","0.78","27.4","8.6 m -   19 m","0"
"(2024 YD13)","2025-Jan-09 03:54 ± < 00:01","0.03745","0.03728","7.27","7.26","25.9","18 m -   39 m","0"
"(2025 AU3)","2025-Jan-09 06:09 ± < 00:01","0.02117","0.02106","19.49","19.48","25.4","22 m -   49 m","0"
"(2023 OS3)","2025-Jan-09 11:14 ±    00:02","0.05135","0.05135","3.06","3.04","27.8","7.3 m -   16 m","0"
"(2025 BY)","2025-Jan-09 15:44 ±    00:01","0.05414","0.05389","11.20","11.20","24.6","32 m -   72 m","0"
"(2024 YW9)","2025-Jan-09 22:40 ± < 00:01","0.00696","0.00694","7.82","7.78","26.3","14 m -   32 m","0"
"(2008 AU28)","2025-Jan-09 23:52 ± < 00:01","0.03217","0.03217","10.76","10.75","25.0","26 m -   59 m","0"
"(2024 YD5)","2025-Jan-10 12:54 ± < 00:01","0.03863","0.03855","7.19","7.18","26.3","15 m -   33 m","0"
"(2012 UK171)","2025-Jan-11 00:40 ± < 00:01","0.02728","0.02728","6.36","6.35","24.5","34 m -   76 m","0"
"(2025 BA3)","2025-Jan-11 05:31 ±    00:09","0.00827","0.00824","7.27","7.23","26.0","17 m -   37 m","0"
"(2025 AV2)","2025-Jan-11 12:30 ± < 00:01","0.01992","0.01982","16.85","16.84","26.2","15 m -   34 m","0"
"(2025 AZ3)","2025-Jan-11 13:26 ± < 00:01","0.00153","0.00152","8.22","8.00","25.9","17 m -   39 m","2"
"(2025 AF1)","2025-Jan-11 23:48 ± < 00:01","0.01196","0.01191","4.86","4.82","27.8","7.5 m -   17 m","0"
"(2024 YZ12)","2025-Jan-12 08:44 ± < 00:01","0.00807","0.00806","8.55","8.51","26.5","13 m -   29 m","0"
"(2024 YB26)","2025-Jan-12 09:07 ±    00:03","0.05882","0.05856","5.50","5.49","26.5","13 m -   30 m","0"
"(2025 BN4)","2025-Jan-12 11:59 ±    00:01","0.04529","0.04503","7.30","7.30","25.9","17 m -   39 m","0"
"(2025 AK3)","2025-Jan-12 14:10 ± < 00:01","0.03420","0.03409","7.46","7.45","26.2","16 m -   35 m","0"
"(2021 AR5)","2025-Jan-12 23:34 ± 1_23:35","0.07721","0.06029","5.82","5.81","25.6","21 m -   46 m","0"
"(2022 EE6)","2025-Jan-13 06:11 ± < 00:01","0.03976","0.03976","8.70","8.70","24.5","33 m -   74 m","0"
"(2020 BK3)","2025-Jan-13 10:20 ±    07:32","0.08930","0.08617","8.18","8.17","26.9","11 m -   25 m","0"
"(2025 AX2)","2025-Jan-13 21:16 ±    00:09","0.02107","0.02085","10.39","10.38","26.9","11 m -   25 m","0"
"(2023 CS3)","2025-Jan-13 22:35 ± 5_02:32","0.06804","0.04399","6.28","6.28","26.9","11 m -   24 m","0"
"(2025 BH)","2025-Jan-13 23:09 ± < 00:01","0.00885","0.00883","14.92","14.90","25.3","23 m -   52 m","0"
"(2025 BT2)","2025-Jan-13 23:41 ±    15:54","0.00731","0.00647","17.23","17.21","26.8","11 m -   26 m","0"
"(2005 YU128)","2025-Jan-14 01:33 ± < 00:01","0.04890","0.04890","7.03","7.03","25.3","24 m -   53 m","0"
"(2025 AS)","2025-Jan-14 02:11 ±    00:11","0.04130","0.04032","9.24","9.23","24.4","35 m -   78 m","0"
"(2025 BU6)","2025-Jan-14 02:46 ±    00:04","0.03010","0.02998","8.67","8.66","24.7","31 m -   69 m","0"
"(2025 BL6)","2025-Jan-14 05:43 ±    00:03","0.09657","0.09583","19.98","19.98","22.6","82 m -  180 m","0"
"(2024 YX5)","2025-Jan-14 13:03 ± < 00:01","0.02983","0.02976","10.63","10.62","25.8","19 m -   42 m","0"
"(2024 YO7)","2025-Jan-14 18:13 ±    00:02","0.09417","0.09375","6.62","6.61","25.1","25 m -   56 m","0"
"803401 (2015 NS13)","2025-Jan-14 19:28 ± < 00:01","0.08032","0.08032","11.55","11.55","20.0","270 m -  600 m","1"
"(2025 BA1)","2025-Jan-14 20:48 ±    00:42","0.00184","0.00182","13.46","13.35","27.6","8.1 m -   18 m","0"
"(2021 LH6)","2025-Jan-15 00:10 ± < 00:01","0.07826","0.07826","27.63","27.63","22.8","74 m -  160 m","0"
"(2024 YG6)","2025-Jan-15 00:42 ± < 00:01","0.08825","0.08813","7.24","7.23","24.3","36 m -   81 m","0"
"(2025 BQ)","2025-Jan-15 06:15 ± < 00:01","0.03002","0.02982","11.69","11.68","26.2","15 m -   34 m","0"
"(2024 YJ4)","2025-Jan-15 09:19 ± < 00:01","0.07244","0.07237","8.80","8.79","23.5","53 m -  120 m","0"
"(2025 BE)","2025-Jan-15 12:59 ± < 00:01","0.03350","0.03337","19.05","19.04","23.9","44 m -   99 m","0"
"(2023 OS)","2025-Jan-15 14:53 ± < 00:01","0.04235","0.04235","10.87","10.87","24.4","35 m -   78 m","0"
"(2025 AH)","2025-Jan-15 20:06 ±    00:02","0.07937","0.07852","19.63","19.63","24.3","37 m -   83 m","0"
"(2025 BP)","2025-Jan-15 20:43 ±    00:07","0.00288","0.00286","17.62","17.57","27.4","8.7 m -   19 m","0"
"(2024 XE3)","2025-Jan-16 00:43 ± < 00:01","0.05223","0.05223","5.06","5.05","24.3","38 m -   84 m","0"
"(2025 BO)","2025-Jan-16 04:18 ± < 00:01","0.03836","0.03820","10.33","10.32","26.6","13 m -   29 m","0"
"(2025 BD1)","2025-Jan-16 11:53 ±    00:03","0.00433","0.00432","7.23","7.15","29.7","3.1 m -  6.9 m","0"
"(2022 CE2)","2025-Jan-16 12:54 ± < 00:01","0.02829","0.02829","13.20","13.19","22.3","93 m -  210 m","1"
"(2025 BF)","2025-Jan-16 13:42 ± < 00:01","0.03196","0.03189","8.40","8.39","24.8","30 m -   67 m","0"
"(2025 BL)","2025-Jan-16 23:57 ± < 00:01","0.01459","0.01454","6.86","6.83","25.5","21 m -   47 m","0"
"(2025 BT)","2025-Jan-17 01:26 ± < 00:01","0.02313","0.02293","13.74","13.73","26.8","11 m -   26 m","0"
"(2024 YF2)","2025-Jan-17 01:50 ± < 00:01","0.01132","0.01131","4.43","4.38","26.6","13 m -   29 m","0"
"(2025 AO2)","2025-Jan-17 07:09 ± < 00:01","0.00522","0.00520","10.28","10.23","26.4","14 m -   32 m","0"
"(2025 BF1)","2025-Jan-17 09:04 ±    00:02","0.04107","0.04075","9.19","9.18","26.4","14 m -   31 m","0"
"(2025 BD)","2025-Jan-17 10:48 ± < 00:01","0.00161","0.00161","16.01","15.91","27.1","10 m -   23 m","1"
"(2025 AF)","2025-Jan-17 22:34 ± < 00:01","0.05068","0.05058","8.81","8.81","25.1","26 m -   58 m","0"
"(2022 OB5)","2025-Jan-18 01:44 ± < 00:01","0.02275","0.02275","1.41","1.33","29.0","4.3 m -  9.6 m","0"
"(2025 BA2)","2025-Jan-18 03:08 ± < 00:01","0.03758","0.03748","7.15","7.14","26.0","17 m -   38 m","0"
"(2025 BM1)","2025-Jan-18 03:47 ±    00:01","0.00458","0.00456","8.43","8.36","28.7","4.9 m -   11 m","0"
"(2025 BP2)","2025-Jan-18 08:54 ± < 00:01","0.01190","0.01178","7.15","7.12","27.8","7.4 m -   16 m","0"
"(2025 BF7)","2025-Jan-18 16:59 ± < 00:01","0.00131","0.00131","7.86","7.60","29.9","2.8 m -  6.2 m","0"
"(2025 BZ)","2025-Jan-18 19:42 ± < 00:01","0.00997","0.00995","8.59","8.56","27.9","7.0 m -   16 m","0"
"(2025 BN5)","2025-Jan-18 19:55 ±    00:13","0.04942","0.04892","5.34","5.33","26.9","11 m -   25 m","0"
"(2025 BN)","2025-Jan-18 20:25 ± < 00:01","0.00216","0.00216","11.82","11.72","26.3","15 m -   33 m","1"
